Employee_ID,First Name,Last Name,Gender,State,City,Education Level,Birthdate,Hiredate,Termdate,Department,Job Title,Salary,Performance Rating
00-95822412,Danielle,Johnson,0,New York,New York City,High School,13/02/1980,2016-04-16,5/7/2021,Customer Service,Help Desk Technician,81552,1
00-42868828,John,Taylor,1,North Carolina,Charlotte,Bachelor,22/09/1987,2017-02-09,14/06/2019,IT,System Administrator,107520,3
00-83197857,Erica,Mcclain,1,New York,New York City,Bachelor,19/05/1994,2016-02-03,6/3/2021,Operations,Logistics Coordinator,61104,3
00-13999315,Brittany,Johnson,1,New York,New York City,Bachelor,18/04/1980,2016-02-06,6/11/2018,Operations,Inventory Specialist,73770,3
00-90801586,Jeffery,Wagner,0,New York,New York City,Bachelor,7/4/1985,2015-01-11,,Operations,Operations Analyst,55581,2
00-97226012,Anna,Baldwin,0,New York,New York City,Bachelor,31/05/1988,2022-09-30,29/03/2023,Operations,Operations Analyst,73800,3
00-70291817,Amy,Robinson,1,New York,New York City,Bachelor,16/07/1991,2020-08-16,12/2/2021,Finance,Accountant,68181,3
00-31429110,Joshua,Booth,0,New York,New York City,Bachelor,19/09/1995,2022-10-22,20/04/2023,Finance,Accounts Payable Specialist,54499,3
00-30868105,Linda,Wolfe,1,New York,New York City,High School,11/5/2002,2017-05-13,15/11/2021,Operations,Inventory Specialist,57340,1
00-22448136,Joshua,Lewis,0,New York,New York City,Bachelor,21/11/1980,2018-10-24,30/03/2022,Operations,Logistics Coordinator,54065,3
00-56164955,Matthew,Davis,0,New York,New York City,High School,8/2/1994,2021-02-07,6/8/2021,Marketing,SEO Specialist,83262,1
00-71662963,Michael,Cooper,0,New York,New York City,High School,26/04/1974,2020-04-12,28/01/2024,HR,Recruiter,61651,1
00-84093639,Lindsay,Blair,1,New York,New York City,Bachelor,26/05/1967,2017-07-28,24/01/2018,Operations,Operations Analyst,75509,3
00-58537831,David,Nielsen,0,New York,New York City,High School,26/07/2001,2020-01-31,29/07/2020,Customer Service,Help Desk Technician,67011,1
00-16150444,Andrea,Calderon,1,Michigan,Grand Rapids,Bachelor,22/05/1987,2022-08-29,25/02/2023,IT,IT Support Specialist,60136,3
00-41244663,Nicole,Ward,1,New York,New York City,Bachelor,13/12/1963,2023-03-16,12/9/2023,Operations,Logistics Coordinator,67552,2
00-70855700,Janet,Williams,1,Michigan,Grand Rapids,Bachelor,26/12/2002,2021-03-30,26/09/2021,Operations,Inventory Specialist,59934,3
