Employee_ID,Full_Name,Gender,State,City,Education_Level,Birthdate,Age,Hiredate,Termdate,Years_of_Service,Employee_Status,Department,Job_Title,Jop_Level,Salary,Performance_Rating
00-95822412,Danielle Johnson,Female,New York,New York City,High School,2/13/1980,44,4/16/2016,7/5/2021,5,Terminated,Customer Service,Help Desk Technician,Junior Level,81552,Need Improvement
00-42868828,John Taylor,Male,North Carolina,Charlotte,Bachelor,9/22/1987,37,2/9/2017,6/14/2019,2,Terminated,IT,System Administrator,Mid-Level,107520,Good
00-83197857,Erica Mcclain,Male,New York,New York City,Bachelor,5/19/1994,30,2/3/2016,3/6/2021,5,Terminated,Operations,Logistics Coordinator,Mid-Level,61104,Good
00-13999315,Brittany Johnson,Male,New York,New York City,Bachelor,4/18/1980,44,2/6/2016,11/6/2018,2,Terminated,Operations,Inventory Specialist,Mid-Level,73770,Good
00-90801586,Jeffery Wagner,Female,New York,New York City,Bachelor,4/7/1985,39,1/11/2015,Still Employee,9,Active,Operations,Operations Analyst,Senior,55581,Satisfactory
00-97226012,Anna Baldwin,Female,New York,New York City,Bachelor,5/31/1988,36,9/30/2022,3/29/2023,0,Terminated,Operations,Operations Analyst,Senior,73800,Good
00-70291817,Amy Robinson,Male,New York,New York City,Bachelor,7/16/1991,33,8/16/2020,2/12/2021,0,Terminated,Finance,Accountant,Mid-Level,68181,Good
00-31429110,Joshua Booth,Female,New York,New York City,Bachelor,9/19/1995,29,10/22/2022,4/20/2023,0,Terminated,Finance,Accounts Payable Specialist,Mid-Level,54499,Good
00-30868105,Linda Wolfe,Male,New York,New York City,High School,5/11/2002,22,5/13/2017,11/15/2021,4,Terminated,Operations,Inventory Specialist,Mid-Level,57340,Need Improvement
00-22448136,Joshua Lewis,Female,New York,New York City,Bachelor,11/21/1980,43,10/24/2018,3/30/2022,3,Terminated,Operations,Logistics Coordinator,Mid-Level,54065,Good
00-56164955,Matthew Davis,Female,New York,New York City,High School,2/8/1994,30,2/7/2021,8/6/2021,0,Terminated,Marketing,SEO Specialist,Senior,83262,Need Improvement
00-71662963,Michael Cooper,Female,New York,New York City,High School,4/26/1974,50,4/12/2020,1/28/2024,3,Terminated,HR,Recruiter,Mid-Level,61651,Need Improvement
